,title,price,link
0,"HP Pavilion 16, Enhanced by AI, Intel Core Ultra 7 155U, 16-inch (40.6 cm), WUXGA, 16GB LPDDR5x, 512GB SSD, Intel graphics, 1080p FHD IR camera, Copilot, Backlit KB (Win 11, Silver, 1.77 kg),af0028TU  ","89,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo1MDAwNjk5NTM5MDM2MTk4OjE3MjEyNDA0MjA6c3BfYXRmX25leHQ6MzAwMjUwODM5NTIwMjMyOjowOjo&url=%2FHP-Pavilion-Enhanced-graphics-af0028TU%2Fdp%2FB0D2685XZW%2Fref%3Dsr_1_17_sspa%3Fcrid%3D25E96DT0LIJB0%26dib%3DeyJ2IjoiMSJ9.FA5mBSSBdsV2oFaehzbjxX4urp2BNOBftsnxel2dzSYlnXq2KIdFYRpURx0rhtfoaaUqt6tFhVh3emcOjcC7sGG8jl9ukbXJ-Kgf-7mvf2gZ1DWGZBisQWYrkANf16eSj2s6wBmOCLz1pQV0oa7qJUyPQ0e0IrQM_lzoEDr3q_1ufQNRrPbgP-fhbYYRR8YXI7FbwyqnyW-wiOrSK2PQy8qnfMHrSfDhQ3Die5QGhho.YIjI61rYuUr2KQPmRs2uoCzslDsUYTjM6ZE8edqrzmI%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1721240420%26sprefix%3Dlapto%252Caps%252C284%26sr%3D8-17-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
1,"Acer Aspire Lite 12th Gen Intel Core i5-1235U Thin and Light Metal Laptop (Windows 11 Home/16GB RAM/512GB SSD/Intel Iris Xe Graphics/MSO) AL15-52, 39.62cm (15.6"") Full HD Display, Steel Gray, 1.59 KG  ","44,999",https://amazon.in//sspa/click?ie=UTF8&spc=MTo1MDAwNjk5NTM5MDM2MTk4OjE3MjEyNDA0MjA6c3BfYXRmX25leHQ6MzAwMTY0NTA0MjA3OTMyOjowOjo&url=%2FAcer-i5-1235U-Windows-Graphics-AL15-52%2Fdp%2FB0CY1YWC3Y%2Fref%3Dsr_1_18_sspa%3Fcrid%3D25E96DT0LIJB0%26dib%3DeyJ2IjoiMSJ9.FA5mBSSBdsV2oFaehzbjxX4urp2BNOBftsnxel2dzSYlnXq2KIdFYRpURx0rhtfoaaUqt6tFhVh3emcOjcC7sGG8jl9ukbXJ-Kgf-7mvf2gZ1DWGZBisQWYrkANf16eSj2s6wBmOCLz1pQV0oa7qJUyPQ0e0IrQM_lzoEDr3q_1ufQNRrPbgP-fhbYYRR8YXI7FbwyqnyW-wiOrSK2PQy8qnfMHrSfDhQ3Die5QGhho.YIjI61rYuUr2KQPmRs2uoCzslDsUYTjM6ZE8edqrzmI%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1721240420%26sprefix%3Dlapto%252Caps%252C284%26sr%3D8-18-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
2,"Dell 15 Thin & Light Laptop, 13th Gen Intel Core i3-1305U Processor, 8GB DDR4, 512GB SSD, 15.6"" (39.62cm) FHD 120Hz 250 nits, Intel UHD Graphics, Windows 11 + MSO'21, 15 Months McAfee, Black, 1.66kg  ","40,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo1MDAwNjk5NTM5MDM2MTk4OjE3MjEyNDA0MjA6c3BfbXRmOjMwMDE1MzYyODg1MzczMjo6MDo6&url=%2FDell-i3-1305U-Processor-39-62cm-GraphicsWin%2Fdp%2FB0CNZ8MDLV%2Fref%3Dsr_1_27_sspa%3Fcrid%3D25E96DT0LIJB0%26dib%3DeyJ2IjoiMSJ9.FA5mBSSBdsV2oFaehzbjxX4urp2BNOBftsnxel2dzSYlnXq2KIdFYRpURx0rhtfoaaUqt6tFhVh3emcOjcC7sGG8jl9ukbXJ-Kgf-7mvf2gZ1DWGZBisQWYrkANf16eSj2s6wBmOCLz1pQV0oa7qJUyPQ0e0IrQM_lzoEDr3q_1ufQNRrPbgP-fhbYYRR8YXI7FbwyqnyW-wiOrSK2PQy8qnfMHrSfDhQ3Die5QGhho.YIjI61rYuUr2KQPmRs2uoCzslDsUYTjM6ZE8edqrzmI%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1721240420%26sprefix%3Dlapto%252Caps%252C284%26sr%3D8-27-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
3,"HP Laptop 15s, AMD Ryzen 5 5500U, 15.6-inch (39.6 cm), FHD, 8GB DDR4, 512GB SSD, AMD Radeon graphics, Thin & light, Dual speakers (Win 11, MSO 2019, Silver, 1.69 kg), eq2144AU  ","38,825",https://amazon.in//HP-15-6-inch-graphics-speakers-eq2144AU/dp/B09RZRF1PJ/ref=sr_1_93?crid=25E96DT0LIJB0&dib=eyJ2IjoiMSJ9.iqbOdM9ZnSWhDMLVreNtWtewI0FZsdW5xXRTZ4U9_NSq8FeOPMnRW1PjuqdFT5TmA3nVMUOqMemjrlvAmuLLi5PCRKvuERp4ClJHVEyKyu3mH4eXP6LXyk0Dmv7GqnVdDcD_4ui9mX_2Un-tXPb30W3NrUQwJMu9cSbHPlNhCKmxG7vFjS0UQZEJv8p4EYZUoXdaHcKtUFavjP341rymxmDMb6k3NKNxTw_DQAqVRIc.ayD2aj76-HgQMDL-YS0bhB3sebFiDwdNJvtwcXmkBVc&dib_tag=se&keywords=laptop&qid=1721240446&sprefix=lapto%2Caps%2C284&sr=8-93
4,"Lenovo IdeaPad 1 Intel Core Celeron N4020 14"" HD Thin and Light Laptop (8 GB/256GB SDD/Windows 11 Home/1Yr ADP Free/Cloud Grey/1.3Kg), 82V6005EIN  ","25,990",https://amazon.in//Lenovo-IdeaPad-Celeron-Warranty-82V6005EIN/dp/B0CCS3F5LX/ref=sr_1_94?crid=25E96DT0LIJB0&dib=eyJ2IjoiMSJ9.iqbOdM9ZnSWhDMLVreNtWtewI0FZsdW5xXRTZ4U9_NSq8FeOPMnRW1PjuqdFT5TmA3nVMUOqMemjrlvAmuLLi5PCRKvuERp4ClJHVEyKyu3mH4eXP6LXyk0Dmv7GqnVdDcD_4ui9mX_2Un-tXPb30W3NrUQwJMu9cSbHPlNhCKmxG7vFjS0UQZEJv8p4EYZUoXdaHcKtUFavjP341rymxmDMb6k3NKNxTw_DQAqVRIc.ayD2aj76-HgQMDL-YS0bhB3sebFiDwdNJvtwcXmkBVc&dib_tag=se&keywords=laptop&qid=1721240446&sprefix=lapto%2Caps%2C284&sr=8-94
5,"Dell Inspiron 3530 Thin & Light Laptop, 13th Gen Intel Core i3-1305U/8GB/512GB SSD/15.6"" (39.62cm) 120Hz Refresh Rate on a FHD IPS Display/Windows 11 + MSO'21+McAfee 15 Month/Carbon Black/1.62kg  ","37,990",https://amazon.in//Dell-Inspiron-3530-i3-1305U-Comfortview/dp/B0C4ZM63RP/ref=sr_1_95?crid=25E96DT0LIJB0&dib=eyJ2IjoiMSJ9.iqbOdM9ZnSWhDMLVreNtWtewI0FZsdW5xXRTZ4U9_NSq8FeOPMnRW1PjuqdFT5TmA3nVMUOqMemjrlvAmuLLi5PCRKvuERp4ClJHVEyKyu3mH4eXP6LXyk0Dmv7GqnVdDcD_4ui9mX_2Un-tXPb30W3NrUQwJMu9cSbHPlNhCKmxG7vFjS0UQZEJv8p4EYZUoXdaHcKtUFavjP341rymxmDMb6k3NKNxTw_DQAqVRIc.ayD2aj76-HgQMDL-YS0bhB3sebFiDwdNJvtwcXmkBVc&dib_tag=se&keywords=laptop&qid=1721240446&sprefix=lapto%2Caps%2C284&sr=8-95
6,"HP Laptop 15, 12th Gen i3-1215U, 15.6-inch (39.6 cm), FHD, Anti-Glare, 8GB DDR4, 512GB SSD, Intel UHD Graphics, Dual Speakers, (Win 11, MSO 2021, Silver, 1.69 kg), 15s-fy5006TU  ","36,349",https://amazon.in//HP-i3-1215U-15-6-inch-Anti-Glare-15s-fy5006TU/dp/B0CJBL2QWY/ref=sr_1_96?crid=25E96DT0LIJB0&dib=eyJ2IjoiMSJ9.iqbOdM9ZnSWhDMLVreNtWtewI0FZsdW5xXRTZ4U9_NSq8FeOPMnRW1PjuqdFT5TmA3nVMUOqMemjrlvAmuLLi5PCRKvuERp4ClJHVEyKyu3mH4eXP6LXyk0Dmv7GqnVdDcD_4ui9mX_2Un-tXPb30W3NrUQwJMu9cSbHPlNhCKmxG7vFjS0UQZEJv8p4EYZUoXdaHcKtUFavjP341rymxmDMb6k3NKNxTw_DQAqVRIc.ayD2aj76-HgQMDL-YS0bhB3sebFiDwdNJvtwcXmkBVc&dib_tag=se&keywords=laptop&qid=1721240446&sprefix=lapto%2Caps%2C284&sr=8-96
7,"Acer Aspire Lite 12th Gen Intel Core i3-1215U Thin and Light Metal Laptop (Windows 11 Home/8GB RAM/512GB SSD/Intel UHD Graphics/MSO) AL15-52, 39.62cm (15.6"") Full HD Display, Steel Gray, 1.59 KG  ","32,990",https://amazon.in//Acer-i3-1215U-Windows-Graphics-AL15-52/dp/B0CY1Z82QW/ref=sr_1_97?crid=25E96DT0LIJB0&dib=eyJ2IjoiMSJ9.iqbOdM9ZnSWhDMLVreNtWtewI0FZsdW5xXRTZ4U9_NSq8FeOPMnRW1PjuqdFT5TmA3nVMUOqMemjrlvAmuLLi5PCRKvuERp4ClJHVEyKyu3mH4eXP6LXyk0Dmv7GqnVdDcD_4ui9mX_2Un-tXPb30W3NrUQwJMu9cSbHPlNhCKmxG7vFjS0UQZEJv8p4EYZUoXdaHcKtUFavjP341rymxmDMb6k3NKNxTw_DQAqVRIc.ayD2aj76-HgQMDL-YS0bhB3sebFiDwdNJvtwcXmkBVc&dib_tag=se&keywords=laptop&qid=1721240446&sprefix=lapto%2Caps%2C284&sr=8-97
8,"ASUS Vivobook 16X, AMD Ryzen 7 5800HS, 16"" (40.64 cm) WUXGA, Thin & Light Laptop (16GB RAM/512GB SSD/Integrated Graphics/Windows 11/Office 2021/Backlit/Fingerprint/Silver/1.88 kg), M1603QA-MB742WS  ","54,990",https://amazon.in//ASUS-Vivobook-Integrated-Fingerprint-M1603QA-MB742WS/dp/B0C1YY11X3/ref=sr_1_98?crid=25E96DT0LIJB0&dib=eyJ2IjoiMSJ9.iqbOdM9ZnSWhDMLVreNtWtewI0FZsdW5xXRTZ4U9_NSq8FeOPMnRW1PjuqdFT5TmA3nVMUOqMemjrlvAmuLLi5PCRKvuERp4ClJHVEyKyu3mH4eXP6LXyk0Dmv7GqnVdDcD_4ui9mX_2Un-tXPb30W3NrUQwJMu9cSbHPlNhCKmxG7vFjS0UQZEJv8p4EYZUoXdaHcKtUFavjP341rymxmDMb6k3NKNxTw_DQAqVRIc.ayD2aj76-HgQMDL-YS0bhB3sebFiDwdNJvtwcXmkBVc&dib_tag=se&keywords=laptop&qid=1721240446&sprefix=lapto%2Caps%2C284&sr=8-98
9,"ASUS Vivobook 16, IntelÂ®Coreâ„¢ i3-1215U 12th Gen, 16-inch (40.64 cm) FHD+, Thin and Light Laptop (8 GB RAM/512GB SSD/Win11/FingerPrint/Black/1.88kg), X1605ZAB-MB322WS  ","35,990",https://amazon.in//ASUS-Vivobook-Intel%C2%AECoreTM-FingerPrint-X1605ZAB-MB322WS/dp/B0CFVYSZFG/ref=sr_1_99?crid=25E96DT0LIJB0&dib=eyJ2IjoiMSJ9.iqbOdM9ZnSWhDMLVreNtWtewI0FZsdW5xXRTZ4U9_NSq8FeOPMnRW1PjuqdFT5TmA3nVMUOqMemjrlvAmuLLi5PCRKvuERp4ClJHVEyKyu3mH4eXP6LXyk0Dmv7GqnVdDcD_4ui9mX_2Un-tXPb30W3NrUQwJMu9cSbHPlNhCKmxG7vFjS0UQZEJv8p4EYZUoXdaHcKtUFavjP341rymxmDMb6k3NKNxTw_DQAqVRIc.ayD2aj76-HgQMDL-YS0bhB3sebFiDwdNJvtwcXmkBVc&dib_tag=se&keywords=laptop&qid=1721240446&sprefix=lapto%2Caps%2C284&sr=8-99
